Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1706633383.956	     1.090	0	23	0	0	magma -b seq:=1003 rk2search.m
6	:	1706633383.963	     1.225	0	22	0	0	magma -b seq:=2944 rk2search.m
8	:	1706633383.969	     1.401	0	22	0	0	magma -b seq:=975 rk2search.m
3	:	1706633383.957	     1.428	0	21	0	0	magma -b seq:=2091 rk2search.m
4	:	1706633383.959	     1.496	0	20	0	0	magma -b seq:=2684 rk2search.m
5	:	1706633383.961	     1.611	0	18	0	0	magma -b seq:=7092 rk2search.m
7	:	1706633383.966	     1.676	0	21	0	0	magma -b seq:=4081 rk2search.m
9	:	1706633383.973	     1.710	0	21	0	0	magma -b seq:=8861 rk2search.m
12	:	1706633385.192	     0.992	0	20	0	0	magma -b seq:=2161 rk2search.m
14	:	1706633385.390	     1.188	0	20	0	0	magma -b seq:=5760 rk2search.m
18	:	1706633385.688	     0.903	0	21	0	0	magma -b seq:=4007 rk2search.m
13	:	1706633385.374	     1.361	0	18	0	0	magma -b seq:=6741 rk2search.m
19	:	1706633386.187	     0.583	0	18	0	0	magma -b seq:=4966 rk2search.m
15	:	1706633385.461	     1.522	0	20	0	0	magma -b seq:=9910 rk2search.m
20	:	1706633386.582	     0.861	0	21	0	0	magma -b seq:=4276 rk2search.m
16	:	1706633385.576	     2.111	0	19	0	0	magma -b seq:=7065 rk2search.m
22	:	1706633386.740	     1.033	0	21	0	0	magma -b seq:=1236 rk2search.m
21	:	1706633386.594	     1.352	0	18	0	0	magma -b seq:=9531 rk2search.m
24	:	1706633386.988	     1.061	0	20	0	0	magma -b seq:=4403 rk2search.m
27	:	1706633387.778	     0.710	0	20	0	0	magma -b seq:=8460 rk2search.m
28	:	1706633387.951	     0.907	0	19	0	0	magma -b seq:=5947 rk2search.m
26	:	1706633387.692	     1.241	0	22	0	0	magma -b seq:=97 rk2search.m
30	:	1706633388.492	     0.822	0	22	0	0	magma -b seq:=1312 rk2search.m
32	:	1706633388.936	     1.762	0	18	0	0	magma -b seq:=3598 rk2search.m
34	:	1706633390.701	     1.190	0	23	0	0	magma -b seq:=3165 rk2search.m
35	:	1706633391.894	     1.054	0	20	0	0	magma -b seq:=10485 rk2search.m
1	:	1706633383.954	    60.497	0	0	-1	15	magma -b seq:=343 rk2search.m
10	:	1706633383.978	    60.478	0	0	-1	15	magma -b seq:=9428 rk2search.m
11	:	1706633385.050	    61.006	0	0	-1	15	magma -b seq:=974 rk2search.m
17	:	1706633385.649	    60.412	0	0	-1	15	magma -b seq:=9787 rk2search.m
37	:	1706633445.514	     1.812	0	21	0	0	magma -b seq:=3083 rk2search.m
23	:	1706633386.775	    60.552	0	0	-1	15	magma -b seq:=9349 rk2search.m
25	:	1706633387.448	    60.730	0	0	-1	15	magma -b seq:=409 rk2search.m
40	:	1706633446.650	     1.608	0	20	0	0	magma -b seq:=9734 rk2search.m
29	:	1706633388.053	    60.979	0	0	-1	15	magma -b seq:=9573 rk2search.m
31	:	1706633388.863	    60.176	0	0	-1	15	magma -b seq:=8551 rk2search.m
42	:	1706633447.722	     1.347	0	22	0	0	magma -b seq:=2631 rk2search.m
44	:	1706633448.264	     1.390	0	21	0	0	magma -b seq:=2707 rk2search.m
43	:	1706633448.259	     1.508	0	20	0	0	magma -b seq:=441 rk2search.m
33	:	1706633389.318	    60.708	0	0	-1	15	magma -b seq:=10053 rk2search.m
46	:	1706633449.073	     1.406	0	21	0	0	magma -b seq:=1867 rk2search.m
45	:	1706633449.069	     2.025	0	22	0	0	magma -b seq:=2629 rk2search.m
49	:	1706633449.773	     1.506	0	21	0	0	magma -b seq:=2055 rk2search.m
47	:	1706633449.093	     2.325	0	21	0	0	magma -b seq:=9274 rk2search.m
52	:	1706633451.099	     1.256	0	20	0	0	magma -b seq:=6351 rk2search.m
36	:	1706633392.952	    60.062	0	0	-1	15	magma -b seq:=8027 rk2search.m
53	:	1706633451.286	     2.131	0	22	0	0	magma -b seq:=652 rk2search.m
55	:	1706633452.361	     2.154	0	21	0	0	magma -b seq:=10001 rk2search.m
57	:	1706633453.421	     1.681	0	19	0	0	magma -b seq:=4450 rk2search.m
48	:	1706633449.659	     6.486	0	20	0	0	magma -b seq:=8324 rk2search.m
58	:	1706633454.520	     1.660	0	21	0	0	magma -b seq:=10036 rk2search.m
59	:	1706633455.107	     2.355	0	19	0	0	magma -b seq:=6074 rk2search.m
61	:	1706633456.185	     2.176	0	19	0	0	magma -b seq:=7435 rk2search.m
62	:	1706633457.468	     1.648	0	21	0	0	magma -b seq:=10003 rk2search.m
63	:	1706633458.366	     2.246	0	20	0	0	magma -b seq:=10468 rk2search.m
64	:	1706633459.120	     1.871	0	21	0	0	magma -b seq:=8804 rk2search.m
65	:	1706633460.617	     2.146	0	21	0	0	magma -b seq:=798 rk2search.m
67	:	1706633462.769	     1.300	0	21	0	0	magma -b seq:=1896 rk2search.m
38	:	1706633445.521	    61.170	0	0	-1	15	magma -b seq:=2180 rk2search.m
39	:	1706633446.646	    61.082	0	0	-1	15	magma -b seq:=843 rk2search.m
41	:	1706633447.719	    61.042	0	0	-1	15	magma -b seq:=532 rk2search.m
70	:	1706633508.754	     1.259	0	20	0	0	magma -b seq:=6185 rk2search.m
69	:	1706633507.718	     2.384	0	20	0	0	magma -b seq:=6612 rk2search.m
71	:	1706633509.788	     1.074	0	19	0	0	magma -b seq:=8169 rk2search.m
50	:	1706633450.065	    60.986	0	0	-1	15	magma -b seq:=96 rk2search.m
51	:	1706633450.484	    60.572	0	0	-1	15	magma -b seq:=7628 rk2search.m
73	:	1706633510.108	     1.608	0	22	0	0	magma -b seq:=2036 rk2search.m
72	:	1706633510.019	     1.863	0	23	0	0	magma -b seq:=392 rk2search.m
54	:	1706633451.423	    60.613	0	0	-1	15	magma -b seq:=3289 rk2search.m
74	:	1706633510.867	     2.194	0	20	0	0	magma -b seq:=247 rk2search.m
76	:	1706633511.151	     2.849	0	22	0	0	magma -b seq:=7220 rk2search.m
56	:	1706633453.110	    60.899	0	0	-1	15	magma -b seq:=10519 rk2search.m
77	:	1706633511.723	     2.717	0	20	0	0	magma -b seq:=5397 rk2search.m
80	:	1706633513.068	     1.398	0	20	0	0	magma -b seq:=7491 rk2search.m
78	:	1706633511.891	     2.667	0	21	0	0	magma -b seq:=2699 rk2search.m
81	:	1706633514.005	     1.839	0	22	0	0	magma -b seq:=439 rk2search.m
84	:	1706633514.471	     1.406	0	21	0	0	magma -b seq:=3291 rk2search.m
85	:	1706633514.563	     1.381	0	21	0	0	magma -b seq:=8385 rk2search.m
82	:	1706633514.050	     2.154	0	19	0	0	magma -b seq:=3596 rk2search.m
83	:	1706633514.444	     1.875	0	18	0	0	magma -b seq:=7391 rk2search.m
88	:	1706633515.948	     0.940	0	21	0	0	magma -b seq:=9394 rk2search.m
60	:	1706633456.150	    60.876	0	0	-1	15	magma -b seq:=6785 rk2search.m
87	:	1706633515.881	     1.223	0	20	0	0	magma -b seq:=131 rk2search.m
86	:	1706633515.850	     1.628	0	22	0	0	magma -b seq:=499 rk2search.m
90	:	1706633516.324	     1.522	0	24	0	0	magma -b seq:=1985 rk2search.m
89	:	1706633516.211	     1.960	0	20	0	0	magma -b seq:=10212 rk2search.m
91	:	1706633516.893	     1.414	0	20	0	0	magma -b seq:=5003 rk2search.m
93	:	1706633517.110	     1.468	0	22	0	0	magma -b seq:=5240 rk2search.m
94	:	1706633517.482	     1.171	0	20	0	0	magma -b seq:=6236 rk2search.m
95	:	1706633517.851	     1.240	0	21	0	0	magma -b seq:=9457 rk2search.m
97	:	1706633518.312	     0.934	0	22	0	0	magma -b seq:=2597 rk2search.m
96	:	1706633518.177	     1.273	0	20	0	0	magma -b seq:=4200 rk2search.m
101	:	1706633519.251	     0.861	0	19	0	0	magma -b seq:=5860 rk2search.m
99	:	1706633518.659	     2.402	0	20	0	0	magma -b seq:=8164 rk2search.m
66	:	1706633460.995	    60.076	0	0	-1	15	magma -b seq:=700 rk2search.m
104	:	1706633521.066	     2.078	0	20	0	0	magma -b seq:=10989 rk2search.m
68	:	1706633464.075	    61.121	0	0	-1	15	magma -b seq:=7652 rk2search.m
106	:	1706633523.150	     2.152	0	21	0	0	magma -b seq:=329 rk2search.m
107	:	1706633525.303	     2.058	0	19	0	0	magma -b seq:=6910 rk2search.m
108	:	1706633525.308	     2.290	0	21	0	0	magma -b seq:=1851 rk2search.m
109	:	1706633527.368	     1.463	0	20	0	0	magma -b seq:=6534 rk2search.m
111	:	1706633528.835	     1.409	0	21	0	0	magma -b seq:=1618 rk2search.m
110	:	1706633527.604	    10.248	0	22	0	0	magma -b seq:=734 rk2search.m
113	:	1706633537.858	     1.224	0	19	0	0	magma -b seq:=5449 rk2search.m
114	:	1706633539.088	     1.355	0	21	0	0	magma -b seq:=10452 rk2search.m
79	:	1706633512.067	    30.475	0	19	0	0	magma -b seq:=10081 rk2search.m
115	:	1706633540.448	     2.171	0	21	0	0	magma -b seq:=2956 rk2search.m
