Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1706635675.002	     0.042	0	24	0	0	magma -b seq:=1923 rk2search_omit.m
2	:	1706635675.006	     0.082	0	23	0	0	magma -b seq:=5939 rk2search_omit.m
3	:	1706635675.010	     0.078	0	23	0	0	magma -b seq:=8709 rk2search_omit.m
4	:	1706635675.014	     0.074	0	22	0	0	magma -b seq:=10663 rk2search_omit.m
5	:	1706635675.018	     0.071	0	26	0	0	magma -b seq:=692 rk2search_omit.m
6	:	1706635675.022	     0.066	0	22	0	0	magma -b seq:=8353 rk2search_omit.m
8	:	1706635675.031	     0.058	0	23	0	0	magma -b seq:=9548 rk2search_omit.m
9	:	1706635675.045	     0.043	0	24	0	0	magma -b seq:=9098 rk2search_omit.m
7	:	1706635675.027	     0.069	0	26	0	0	magma -b seq:=1703 rk2search_omit.m
10	:	1706635675.092	     0.046	0	22	0	0	magma -b seq:=5599 rk2search_omit.m
11	:	1706635675.096	     0.048	0	22	0	0	magma -b seq:=4116 rk2search_omit.m
12	:	1706635675.101	     0.056	0	23	0	0	magma -b seq:=4170 rk2search_omit.m
13	:	1706635675.106	     0.058	0	23	0	0	magma -b seq:=7396 rk2search_omit.m
14	:	1706635675.110	     0.055	0	24	0	0	magma -b seq:=673 rk2search_omit.m
15	:	1706635675.119	     0.074	0	24	0	0	magma -b seq:=11060 rk2search_omit.m
16	:	1706635675.125	     0.069	0	24	0	0	magma -b seq:=919 rk2search_omit.m
18	:	1706635675.144	     0.054	0	22	0	0	magma -b seq:=5047 rk2search_omit.m
17	:	1706635675.137	     0.078	0	23	0	0	magma -b seq:=6965 rk2search_omit.m
20	:	1706635675.164	     0.052	0	23	0	0	magma -b seq:=4025 rk2search_omit.m
21	:	1706635675.193	     0.067	0	23	0	0	magma -b seq:=310 rk2search_omit.m
22	:	1706635675.199	     0.063	0	24	0	0	magma -b seq:=4777 rk2search_omit.m
23	:	1706635675.205	     0.057	0	24	0	0	magma -b seq:=9380 rk2search_omit.m
24	:	1706635675.216	     0.057	0	21	0	0	magma -b seq:=10417 rk2search_omit.m
26	:	1706635675.230	     0.050	0	24	0	0	magma -b seq:=2584 rk2search_omit.m
25	:	1706635675.222	     0.069	0	22	0	0	magma -b seq:=7313 rk2search_omit.m
28	:	1706635675.267	     0.052	0	24	0	0	magma -b seq:=9094 rk2search_omit.m
27	:	1706635675.261	     0.088	0	22	0	0	magma -b seq:=6394 rk2search_omit.m
29	:	1706635675.274	     0.075	0	24	0	0	magma -b seq:=5367 rk2search_omit.m
31	:	1706635675.286	     0.063	0	24	0	0	magma -b seq:=11050 rk2search_omit.m
30	:	1706635675.281	     0.081	0	25	0	0	magma -b seq:=709 rk2search_omit.m
32	:	1706635675.291	     0.088	0	25	0	0	magma -b seq:=10289 rk2search_omit.m
33	:	1706635675.299	     0.081	0	24	0	0	magma -b seq:=583 rk2search_omit.m
34	:	1706635675.319	     0.061	0	24	0	0	magma -b seq:=4299 rk2search_omit.m
35	:	1706635675.349	     0.049	0	23	0	0	magma -b seq:=9563 rk2search_omit.m
36	:	1706635675.362	     0.055	0	25	0	0	magma -b seq:=250 rk2search_omit.m
42	:	1706635675.405	     0.052	0	23	0	0	magma -b seq:=11118 rk2search_omit.m
41	:	1706635675.399	     0.074	0	23	0	0	magma -b seq:=5445 rk2search_omit.m
38	:	1706635675.379	     0.103	0	23	0	0	magma -b seq:=8231 rk2search_omit.m
39	:	1706635675.385	     0.114	0	24	0	0	magma -b seq:=9105 rk2search_omit.m
40	:	1706635675.394	     0.105	0	22	0	0	magma -b seq:=8992 rk2search_omit.m
43	:	1706635675.412	     0.088	0	24	0	0	magma -b seq:=3016 rk2search_omit.m
